split_type,model_name,fraction,seed,test_mse,test_cross_entropy
problem,ev,0.02,42,0.06501115886038804,0.7253576467266556
problem,eu,0.02,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.02,42,0.0507751052022092,0.6942784050957063
problem,pt5,0.02,42,0.0507095007462675,0.6941488406863805
problem,ev,0.04,42,0.06501115886038804,0.7253576467266556
problem,eu,0.04,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.04,42,0.05087808952248033,0.6944843885593113
problem,pt5,0.04,42,0.05088697610837638,0.6945145752200177
problem,ev,0.06,42,0.06501115886038804,0.7253576467266556
problem,eu,0.06,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.06,42,0.050894576965311036,0.6945173724759073
problem,pt5,0.06,42,0.05083851028961313,0.6944064194337352
problem,ev,0.08,42,0.06501115886038804,0.7253576467266556
problem,eu,0.08,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.08,42,0.05092163521779344,0.6945715070848775
problem,pt5,0.08,42,0.05062214854219252,0.6939727366628725
problem,ev,0.1,42,0.06501115886038804,0.7253576467266556
problem,eu,0.1,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.1,42,0.05096856357821067,0.6946654067786494
problem,pt5,0.1,42,0.050658975232349836,0.6940464685511013
problem,ev,0.12,42,0.06501115886038804,0.7253576467266556
problem,eu,0.12,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.12,42,0.050883253303777666,0.6944947187961297
problem,pt5,0.12,42,0.05061204408607428,0.6939525012918742
problem,ev,0.14,42,0.06501115886038804,0.7253576467266556
problem,eu,0.14,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.14,42,0.05091700953307206,0.6945622523114757
problem,pt5,0.14,42,0.05063927347498322,0.6940070263484223
problem,ev,0.16,42,0.06501115886038804,0.7253576467266556
problem,eu,0.16,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.16,42,0.050948247419670044,0.6946247538415758
problem,pt5,0.16,42,0.05069681695332615,0.6941222075940574
problem,ev,0.18,42,0.06501115886038804,0.7253576467266556
problem,eu,0.18,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.18,42,0.05097710179070663,0.694682492901434
problem,pt5,0.18,42,0.050722233801109955,0.6941735109827768
problem,ev,0.2,42,0.06501115886038804,0.7253576467266556
problem,eu,0.2,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.2,42,0.05096387309440772,0.6946560207517309
problem,pt5,0.2,42,0.0507299114055543,0.6941884279548883
problem,ev,0.22,42,0.06501115886038804,0.7253576467266556
