model_type,fraction,seed,test_mse,test_cross_entropy
value_based,0.2,42,0.03424473734787814,0.6653795175426028
context_dependent,0.2,42,0.023098489081106788,0.6421760145727212
context_dependent_sigmoid,0.2,42,0.021569524231114807,0.6367335189093382
value_based,0.4,42,0.023712160342981046,0.6447013739094928
context_dependent,0.4,42,0.016962576668574713,0.6287903055943155
context_dependent_sigmoid,0.4,42,0.01736486749064397,0.6283859832043955
value_based,0.6,42,0.022285378394376557,0.641506994225355
context_dependent,0.6,42,0.014771756901728487,0.623458249296115
context_dependent_sigmoid,0.6,42,0.015547458668805568,0.6248752444540776
value_based,0.8,42,0.02106169465513154,0.6385602906410094
context_dependent,0.8,42,0.013620510094583692,0.6204892483388926
context_dependent_sigmoid,0.8,42,0.013300334795857302,0.6194692125033545
value_based,1.0,42,0.020992949321134675,0.6382658013872622
context_dependent,1.0,42,0.013368871975025336,0.6200582509572649
context_dependent_sigmoid,1.0,42,0.013250546353532497,0.6189458948164653
