bRate,A,B
0.6266666666666667,"[[0.9500000000000001, 26.0], [0.05, -1.0]]","[[0.9500000000000001, 21.0], [0.05, 23.0]]"
0.611764705882353,"[[0.5, 2.0], [0.5, 0.0]]","[[1.0, 1.0]]"
0.2222222222222222,"[[0.05, 37.0], [0.9500000000000001, 8.0]]","[[0.75, -31.0], [0.125, 86.5], [0.125, 87.5]]"
0.9625,"[[1.0, -6.0], [0.0, -6.0]]","[[0.8, -5.0], [0.1, 23.5], [0.1, 24.5]]"
0.6125,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, -24.0], [0.5, 89.0]]"
0.1666666666666666,"[[0.25, 94.0], [0.75, -38.0]]","[[0.9500000000000001, -9.0], [0.025, -6.0], [0.0125, -8.0], [0.0125, -12.0]]"
0.6533333333333332,"[[1.0, -4.0], [0.0, -4.0]]","[[0.9, -5.0], [0.0031249999999999997, 35.5], [0.015625, 36.5], [0.03125, 37.5], [0.03125, 38.5], [0.015625, 39.5], [0.0031249999999999997, 40.5]]"
0.7866666666666667,"[[1.0, 9.0], [0.0, 9.0]]","[[0.9500000000000001, 7.0], [0.05, 48.0]]"
0.8133333333333332,"[[0.5, 14.0], [0.5, 12.0]]","[[0.9, 14.0], [0.05, 45.0], [0.025, 43.0], [0.0125, 39.0], [0.012499999999999001, 31.0]]"
0.5368421052631579,"[[0.5, 42.0], [0.5, -34.0]]","[[0.8, 7.0], [0.2, 8.0]]"
0.6823529411764706,"[[0.4, 35.0], [0.6000000000000001, -13.0]]","[[0.4, -43.0], [0.018750000000000003, 30.5], [0.09375000000000001, 31.5], [0.1875, 32.5], [0.1875, 33.5], [0.09375000000000001, 34.5], [0.018750000000000003, 35.5]]"
0.36,"[[1.0, 6.0], [0.0, 6.0]]","[[0.99, 3.0], [0.01, 17.0]]"
0.3733333333333333,"[[1.0, 24.0], [0.0, 24.0]]","[[0.6000000000000001, -12.0], [0.4, 72.0]]"
0.5333333333333333,"[[1.0, 15.0], [0.0, 15.0]]","[[0.4, -25.0], [0.6000000000000001, 39.0]]"
0.6933333333333334,"[[1.0, 8.0], [0.0, 8.0]]","[[0.9500000000000001, 5.0], [0.05, 54.0]]"
0.4117647058823529,"[[1.0, 12.0], [0.0, 12.0]]","[[0.5, -28.0], [0.0625, 30.5], [0.1875, 31.5], [0.1875, 32.5], [0.0625, 33.5]]"
0.7749999999999999,"[[0.5, 30.0], [0.5, 12.0]]","[[0.9500000000000001, 27.0], [0.05, 34.0]]"
0.8266666666666667,"[[0.5, 6.0], [0.5, -2.0]]","[[0.25, -35.0], [0.375, 14.0], [0.1875, 16.0], [0.09375000000000001, 20.0], [0.046875, 28.0], [0.046875, 44.0]]"
