Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,EV_A,EV_B,EV_diff
2,True,15,4,14,0.6,-18,8,0.25,-5,0,1,True,-1,0.4933333333333334,0.4131182235954578,1.2000000000000002,-1.75,-2.95
3,True,17,4,2,0.5,0,1,1.0,1,0,1,False,0,0.611764705882353,0.4328428596805896,1.0,1.0,0.0
5,False,15,1,26,1.0,26,45,0.75,-36,2,5,False,0,0.5866666666666667,0.4501851470969101,26.0,24.75,-1.25
6,True,15,4,28,1.0,28,33,0.01,28,2,3,True,0,0.8,0.3545621041711673,28.0,28.049999999999997,0.04999999999999716
10,False,15,1,1,1.0,1,59,0.05,0,0,1,True,0,0.7733333333333333,0.4061433010064071,1.0,2.95,1.9500000000000002
10,True,15,4,1,1.0,1,59,0.05,0,0,1,True,0,0.8533333333333334,0.277402921672395,1.0,2.95,1.9500000000000002
11,True,15,4,-4,1.0,-4,38,0.1,-5,1,6,False,0,0.6533333333333332,0.3888934240098375,-4.0,-0.6999999999999997,3.3000000000000003
12,True,17,3,-3,1.0,-3,-2,0.99,-13,2,7,True,0,0.6352941176470589,0.4076474832354976,-3.0,-2.1100000000000003,0.8899999999999997
13,True,15,2,9,1.0,9,48,0.05,7,0,1,False,0,0.7866666666666667,0.324844285041017,9.0,9.05,0.05000000000000071
15,True,19,4,42,0.5,-34,8,0.2,7,0,1,False,0,0.5368421052631579,0.4271488503447916,4.0,7.200000000000001,3.200000000000001
19,True,15,3,6,1.0,6,17,0.01,3,0,1,False,0,0.36,0.4222389303293981,6.0,3.1399999999999997,-2.8600000000000003
22,True,15,5,24,1.0,24,72,0.4,-12,0,1,False,0,0.3733333333333333,0.3990464825532174,24.0,21.6,-2.3999999999999986
23,True,18,5,15,1.0,15,39,0.6,-25,0,1,False,0,0.5333333333333333,0.4172740670816047,15.0,13.399999999999999,-1.6000000000000014
25,False,16,1,21,1.0,21,99,0.4,-30,1,4,True,0,0.3875000000000001,0.3827531841800928,21.0,21.6,0.6000000000000014
25,True,16,5,21,1.0,21,99,0.4,-30,1,4,True,0,0.6,0.3723797345005051,21.0,21.6,0.6000000000000014
26,True,15,5,8,1.0,8,54,0.05,5,0,1,False,0,0.6933333333333334,0.3614784456460256,8.0,7.45,-0.5499999999999998
27,False,16,1,-3,0.2,-12,-5,0.6,-18,1,4,False,0,0.4749999999999999,0.3714835124201342,-10.200000000000001,-10.2,1.7763568394002505e-15
30,False,16,1,6,0.5,-2,18,0.75,-35,2,5,False,0,0.775,0.2720294101747089,2.0,4.75,2.75
30,True,15,4,6,0.5,-2,18,0.75,-35,2,5,False,0,0.8266666666666667,0.3534860406754147,2.0,4.75,2.75
32,True,15,5,22,1.0,22,32,0.5,13,0,1,False,0,0.4933333333333334,0.4131182235954578,22.0,22.5,0.5
34,True,15,2,18,1.0,18,29,0.75,-16,3,2,True,0,0.48,0.4828486896977739,18.0,17.75,-0.25
36,False,16,1,7,0.1,4,1,0.6,1,1,4,False,0,0.1,0.2422120283277993,4.3,1.0,-3.3
36,True,16,4,7,0.1,4,1,0.6,1,1,4,False,0,0.1375,0.2895398648430529,4.3,1.0,-3.3
38,False,32,1,33,0.5,-15,17,0.6,4,2,4,False,0,0.54375,0.4196292526474047,9.0,11.799999999999999,2.799999999999999
38,True,16,5,33,0.5,-15,17,0.6,4,2,4,False,0,0.675,0.4250490167812021,9.0,11.799999999999999,2.799999999999999
39,True,18,2,-1,1.0,-1,23,0.2,-5,0,1,False,0,0.5444444444444445,0.4889631553811201,-1.0,0.6000000000000005,1.6000000000000005
40,True,17,3,-9,1.0,-9,-4,0.5,-20,1,2,False,0,0.2941176470588236,0.3543843045256345,-9.0,-12.0,-3.0
43,False,16,1,-8,0.2,-8,1,0.8,-43,0,1,False,0,0.3625,0.3947573094109004,-8.0,-7.799999999999998,0.20000000000000195
46,True,15,2,-5,0.99,-13,7,0.75,-44,1,4,False,-1,0.8,0.3703280399090206,-5.08,-5.75,-0.6699999999999999
47,False,16,1,29,0.5,-31,39,0.2,-14,0,1,False,0,0.3,0.3502380143083653,-1.0,-3.4000000000000004,-2.4000000000000004
47,True,15,3,29,0.5,-31,39,0.2,-14,0,1,False,0,0.2533333333333333,0.277402921672395,-1.0,-3.4000000000000004,-2.4000000000000004
49,False,16,1,42,0.25,26,97,0.2,13,0,1,False,0,0.3875,0.4224926034855522,30.0,29.800000000000004,-0.19999999999999574
49,True,15,3,42,0.25,26,97,0.2,13,0,1,False,0,0.4800000000000001,0.3764495792457279,30.0,29.800000000000004,-0.19999999999999574
53,True,19,4,-5,1.0,-5,-5,1.0,-5,2,4,False,0,0.5894736842105263,0.3970652574998853,-5.0,-5.0,0.0
55,False,16,1,-9,1.0,-9,15,0.5,-27,1,2,False,0,0.6499999999999999,0.322490309931942,-9.0,-6.0,3.0
56,True,18,3,35,0.6,-17,19,0.05,12,1,2,False,0,0.5888888888888889,0.4199284097093763,14.2,12.349999999999998,-1.8500000000000014
58,False,32,1,5,1.0,5,20,0.4,0,0,1,False,0,0.55,0.3663243759117004,5.0,8.0,3.0
58,True,15,4,5,1.0,5,20,0.4,0,0,1,False,0,0.4666666666666666,0.4186144947778269,5.0,8.0,3.0
59,True,16,5,27,0.4,-6,52,0.25,-7,1,2,False,0,0.35,0.3141125063837265,7.200000000000001,7.75,0.5499999999999989
66,True,16,2,26,1.0,26,25,0.99,20,0,1,True,0,0.3,0.3723797345005051,26.0,24.95,-1.0500000000000007
67,False,16,1,50,0.01,15,25,0.6,-2,1,2,False,1,0.3250000000000001,0.3855731664245668,15.35,14.2,-1.1500000000000004
